,Name,Period,Diet,Country,UE
564,Labocania,Cretaceous,carnivore,North America,no info
565,Laevisuchus,Late Cretaceous,carnivore,India,no info
566,Lajasvenator,Cretaceous,carnivore,South America,no info
567,Lamaceratops,Cretaceous,herbivore,Mongolia,no info
568,Lambeosaurus,Cretaceous,herbivore,North America,no info
569,Lametasaurus,Late Cretaceous,carnivore,India,no info
570,Lamplughsaura,Early Jurassic,herbivore,India,no info
571,Lancanjiangosaurus,Jurassic,herbivore,China,no info
572,Lanzhousaurus,Cretaceous,herbivore,China,no info
573,Laosaurus,Jurassic/Cretaceous,herbivore,North America,no info
574,Lapampasaurus,Cretaceous,herbivore,South America,no info
575,Laplatasaurus,Cretaceous,herbivore,South America,no info
576,Lapparentosaurus,Middle Jurassic,herbivore,Madagascar,no info
577,Laquintasaura,Jurassic,herbivore,South America,no info
578,Latenivenatrix,Cretaceous,carnivore,North America,no info
579,Latirhinus,Cretaceous,herbivore,North America,no info
580,Leaellynasaura,Early Cretaceous,herbivore,Australia,no info
581,Leinkupal,Cretaceous,herbivore,South America,no info
582,Leonerasaurus,Triassic or Jurassic,herbivore,South America,no info
583,Leptoceratops,Cretaceous,herbivore,North America,no info
584,Leptorhynchos,Cretaceous,omnivore,North America,no info
585,Leshansaurus,Jurassic,carnivore,China,no info
586,Lesothosaurus,Jurassic,herbivore,Lesotho,no info
587,Lessemsaurus,Triassic,herbivore,South America,no info
588,Levnesovia,Cretaceous,herbivore,Uzbekistan,no info
589,Lexovisaurus,Jurassic,herbivore,"England, France",no info
590,Leyesaurus,Jurassic,herbivore,South America,no info
591,Liaoceratops,Cretaceous,herbivore,China,no info
592,Liaoningosaurus,Cretaceous,carnivore,China,no info
593,Liassaurus,Jurassic,(unknown),England,no info
594,Ligabueino,Cretaceous,carnivore,South America,no info
595,Ligabuesaurus,Cretaceous,herbivore,South America,no info
596,Lihkoelesauus,Triassic,(unknown),South Africa,no info
597,Liliensternus,Triassic,carnivore,Germany,no info
598,Limaysaurus,Cretaceous,herbivore,South America,no info
599,Limusaurus,Jurassic,herbivore,China,no info
600,Lingwulong,Jurassic,herbivore,China,no info
601,Linhenykus,Cretaceous,carnivore,China,no info
602,Linheraptor,Cretaceous,carnivore,China,no info
603,Linhevenator,Cretaceous,carnivore,China,no info
604,Lirainosaurus,Cretaceous,herbivore,Spain,no info
605,Liubangosaurus,Cretaceous,herbivore,China,no info
606,Loncosaurus,Cretaceous,herbivore,South America,no info
607,Lophorhothon,Cretaceous,herbivore,North America,no info
608,Lophostropheus,Triassic/Jurassic,carnivore,France,no info
609,Loricatosaurus,Jurassic,herbivore,England and France,no info
610,Losillasaurus,Jurassic/Cretaceous,herbivore,Spain,no info
611,Lourinhanosaurus,Jurassic,carnivore,Portugal,no info
612,Lourinhasaurus,Jurassic,herbivore,Portugal,no info
613,Luanchuanraptor,Cretaceous,carnivore,China,no info
614,Lufengosaurus,Jurassic,herbivore,China,no info
615,Luoyanggia,Cretaceous,omnivore,China,no info
616,Lurdusaurus,Cretaceous,herbivore,Niger,no info
617,Lusitanosaurus,Jurassic,herbivore,Portugal,no info
618,Lusotitan,Jurassic,herbivore,Portugal,no info
619,Lycorhinus,Jurassic,omnivore,South Africa,no info
